Address    Value     Region                    
0x0000     0         ROM_BANK                  
0x0001     1         ROM_BANK                  
0x0002     2         ROM_BANK                  
0x0003     3         ROM_BANK                  
0x0004     4         ROM_BANK                  
0x0005     5         ROM_BANK                  
0x0006     6         ROM_BANK                  
0x0007     7         ROM_BANK                  
0x0008     8         ROM_BANK                  
0x0009     9         ROM_BANK                  
0x000A     10        ROM_BANK                  
0x000B     11        ROM_BANK                  
0x000C     12        ROM_BANK                  
0x000D     13        ROM_BANK                  
0x000E     14        ROM_BANK                  
0x000F     15        ROM_BANK                  
0x0010     16        ROM_BANK                  
0x0011     17        ROM_BANK                  
0x0012     18        ROM_BANK                  
0x0013     19        ROM_BANK                  
0x0014     20        ROM_BANK                  
0x0015     21        ROM_BANK                  
0x0016     22        ROM_BANK                  
0x0017     23        ROM_BANK                  
0x0018     24        ROM_BANK                  
0x0019     25        ROM_BANK                  
0x001A     26        ROM_BANK                  
0x001B     27        ROM_BANK                  
0x001C     28        ROM_BANK                  
0x001D     29        ROM_BANK                  
0x001E     30        ROM_BANK                  
0x001F     31        ROM_BANK                  
0x0020     32        ROM_BANK                  
0x0021     33        ROM_BANK                  
0x0022     34        ROM_BANK                  
0x0023     35        ROM_BANK                  
0x0024     36        ROM_BANK                  
0x0025     37        ROM_BANK                  
0x0026     38        ROM_BANK                  
0x0027     39        ROM_BANK                  
0x0028     40        ROM_BANK                  
0x0029     41        ROM_BANK                  
0x002A     42        ROM_BANK                  
0x002B     43        ROM_BANK                  
0x002C     44        ROM_BANK                  
0x002D     45        ROM_BANK                  
0x002E     46        ROM_BANK                  
0x002F     47        ROM_BANK                  
0x0030     48        ROM_BANK                  
0x0031     49        ROM_BANK                  
0x0032     50        ROM_BANK                  
0x0033     51        ROM_BANK                  
0x0034     52        ROM_BANK                  
0x0035     53        ROM_BANK                  
0x0036     54        ROM_BANK                  
0x0037     55        ROM_BANK                  
0x0038     56        ROM_BANK                  
0x0039     57        ROM_BANK                  
0x003A     58        ROM_BANK                  
0x003B     59        ROM_BANK                  
0x003C     60        ROM_BANK                  
0x003D     61        ROM_BANK                  
0x003E     62        ROM_BANK                  
0x003F     63        ROM_BANK                  
0x0040     64        ROM_BANK                  
0x0041     65        ROM_BANK                  
0x0042     66        ROM_BANK                  
0x0043     67        ROM_BANK                  
0x0044     68        ROM_BANK                  
0x0045     69        ROM_BANK                  
0x0046     70        ROM_BANK                  
0x0047     71        ROM_BANK                  
0x0048     72        ROM_BANK                  
0x0049     73        ROM_BANK                  
0x004A     74        ROM_BANK                  
0x004B     75        ROM_BANK                  
0x004C     76        ROM_BANK                  
0x004D     77        ROM_BANK                  
0x004E     78        ROM_BANK                  
0x004F     79        ROM_BANK                  
0x0050     80        ROM_BANK                  
0x0051     81        ROM_BANK                  
0x0052     82        ROM_BANK                  
0x0053     83        ROM_BANK                  
0x0054     84        ROM_BANK                  
0x0055     85        ROM_BANK                  
0x0056     86        ROM_BANK                  
0x0057     87        ROM_BANK                  
0x0058     88        ROM_BANK                  
0x0059     89        ROM_BANK                  
0x005A     90        ROM_BANK                  
0x005B     91        ROM_BANK                  
0x005C     92        ROM_BANK                  
0x005D     93        ROM_BANK                  
0x005E     94        ROM_BANK                  
0x005F     95        ROM_BANK                  
0x0060     96        ROM_BANK                  
0x0061     97        ROM_BANK                  
0x0062     98        ROM_BANK                  
0x0063     99        ROM_BANK                  
0x0064     100       ROM_BANK                  
0x0065     101       ROM_BANK                  
0x0066     102       ROM_BANK                  
0x0067     103       ROM_BANK                  
0x0068     104       ROM_BANK                  
0x0069     105       ROM_BANK                  
0x006A     106       ROM_BANK                  
0x006B     107       ROM_BANK                  
0x006C     108       ROM_BANK                  
0x006D     109       ROM_BANK                  
0x006E     110       ROM_BANK                  
0x006F     111       ROM_BANK                  
0x0070     112       ROM_BANK                  
0x0071     113       ROM_BANK                  
0x0072     114       ROM_BANK                  
0x0073     115       ROM_BANK                  
0x0074     116       ROM_BANK                  
0x0075     117       ROM_BANK                  
0x0076     118       ROM_BANK                  
0x0077     119       ROM_BANK                  
0x0078     120       ROM_BANK                  
0x0079     121       ROM_BANK                  
0x007A     122       ROM_BANK                  
0x007B     123       ROM_BANK                  
0x007C     124       ROM_BANK                  
0x007D     125       ROM_BANK                  
0x007E     126       ROM_BANK                  
0x007F     127       ROM_BANK                  
0x0080     128       ROM_BANK                  
0x0081     129       ROM_BANK                  
0x0082     130       ROM_BANK                  
0x0083     131       ROM_BANK                  
0x0084     132       ROM_BANK                  
0x0085     133       ROM_BANK                  
0x0086     134       ROM_BANK                  
0x0087     135       ROM_BANK                  
0x0088     136       ROM_BANK                  
0x0089     137       ROM_BANK                  
0x008A     138       ROM_BANK                  
0x008B     139       ROM_BANK                  
0x008C     140       ROM_BANK                  
0x008D     141       ROM_BANK                  
0x008E     142       ROM_BANK                  
0x008F     143       ROM_BANK                  
0x0090     144       ROM_BANK                  
0x0091     145       ROM_BANK                  
0x0092     146       ROM_BANK                  
0x0093     147       ROM_BANK                  
0x0094     148       ROM_BANK                  
0x0095     149       ROM_BANK                  
0x0096     150       ROM_BANK                  
0x0097     151       ROM_BANK                  
0x0098     152       ROM_BANK                  
0x0099     153       ROM_BANK                  
0x009A     154       ROM_BANK                  
0x009B     155       ROM_BANK                  
0x009C     156       ROM_BANK                  
0x009D     157       ROM_BANK                  
0x009E     158       ROM_BANK                  
0x009F     159       ROM_BANK                  
0x00A0     160       ROM_BANK                  
0x00A1     161       ROM_BANK                  
0x00A2     162       ROM_BANK                  
0x00A3     163       ROM_BANK                  
0x00A4     164       ROM_BANK                  
0x00A5     165       ROM_BANK                  
0x00A6     166       ROM_BANK                  
0x00A7     167       ROM_BANK                  
0x00A8     168       ROM_BANK                  
0x00A9     169       ROM_BANK                  
0x00AA     170       ROM_BANK                  
0x00AB     171       ROM_BANK                  
0x00AC     172       ROM_BANK                  
0x00AD     173       ROM_BANK                  
0x00AE     174       ROM_BANK                  
0x00AF     175       ROM_BANK                  
0x00B0     176       ROM_BANK                  
0x00B1     177       ROM_BANK                  
0x00B2     178       ROM_BANK                  
0x00B3     179       ROM_BANK                  
0x00B4     180       ROM_BANK                  
0x00B5     181       ROM_BANK                  
0x00B6     182       ROM_BANK                  
0x00B7     183       ROM_BANK                  
0x00B8     184       ROM_BANK                  
0x00B9     185       ROM_BANK                  
0x00BA     186       ROM_BANK                  
0x00BB     187       ROM_BANK                  
0x00BC     188       ROM_BANK                  
0x00BD     189       ROM_BANK                  
0x00BE     190       ROM_BANK                  
0x00BF     191       ROM_BANK                  
0x00C0     192       ROM_BANK                  
0x00C1     193       ROM_BANK                  
0x00C2     194       ROM_BANK                  
0x00C3     195       ROM_BANK                  
0x00C4     196       ROM_BANK                  
0x00C5     197       ROM_BANK                  
0x00C6     198       ROM_BANK                  
0x00C7     199       ROM_BANK                  
0x00C8     200       ROM_BANK                  
0x00C9     201       ROM_BANK                  
0x00CA     202       ROM_BANK                  
0x00CB     203       ROM_BANK                  
0x00CC     204       ROM_BANK                  
0x00CD     205       ROM_BANK                  
0x00CE     206       ROM_BANK                  
0x00CF     207       ROM_BANK                  
0x00D0     208       ROM_BANK                  
0x00D1     209       ROM_BANK                  
0x00D2     210       ROM_BANK                  
0x00D3     211       ROM_BANK                  
0x00D4     212       ROM_BANK                  
0x00D5     213       ROM_BANK                  
0x00D6     214       ROM_BANK                  
0x00D7     215       ROM_BANK                  
0x00D8     216       ROM_BANK                  
0x00D9     217       ROM_BANK                  
0x00DA     218       ROM_BANK                  
0x00DB     219       ROM_BANK                  
0x00DC     220       ROM_BANK                  
0x00DD     221       ROM_BANK                  
0x00DE     222       ROM_BANK                  
0x00DF     223       ROM_BANK                  
0x00E0     224       ROM_BANK                  
0x00E1     225       ROM_BANK                  
0x00E2     226       ROM_BANK                  
0x00E3     227       ROM_BANK                  
0x00E4     228       ROM_BANK                  
0x00E5     229       ROM_BANK                  
0x00E6     230       ROM_BANK                  
0x00E7     231       ROM_BANK                  
0x00E8     232       ROM_BANK                  
0x00E9     233       ROM_BANK                  
0x00EA     234       ROM_BANK                  
0x00EB     235       ROM_BANK                  
0x00EC     236       ROM_BANK                  
0x00ED     237       ROM_BANK                  
0x00EE     238       ROM_BANK                  
0x00EF     239       ROM_BANK                  
0x00F0     240       ROM_BANK                  
0x00F1     241       ROM_BANK                  
0x00F2     242       ROM_BANK                  
0x00F3     243       ROM_BANK                  
0x00F4     244       ROM_BANK                  
0x00F5     245       ROM_BANK                  
0x00F6     246       ROM_BANK                  
0x00F7     247       ROM_BANK                  
0x00F8     248       ROM_BANK                  
0x00F9     249       ROM_BANK                  
0x00FA     250       ROM_BANK                  
0x00FB     251       ROM_BANK                  
0x00FC     252       ROM_BANK                  
0x00FD     253       ROM_BANK                  
0x00FE     254       ROM_BANK                  
0x00FF     255       ROM_BANK                  
0x0100     0         ROM_BANK                  
0x0101     1         ROM_BANK                  
0x0102     2         ROM_BANK                  
0x0103     3         ROM_BANK                  
0x0104     4         ROM_BANK                  
0x0105     5         ROM_BANK                  
0x0106     6         ROM_BANK                  
0x0107     7         ROM_BANK                  
0x0108     8         ROM_BANK                  
0x0109     9         ROM_BANK                  
0x010A     10        ROM_BANK                  
0x010B     11        ROM_BANK                  
0x010C     12        ROM_BANK                  
0x010D     13        ROM_BANK                  
0x010E     14        ROM_BANK                  
0x010F     15        ROM_BANK                  
0x0110     16        ROM_BANK                  
0x0111     17        ROM_BANK                  
0x0112     18        ROM_BANK                  
0x0113     19        ROM_BANK                  
0x0114     20        ROM_BANK                  
0x0115     21        ROM_BANK                  
0x0116     22        ROM_BANK                  
0x0117     23        ROM_BANK                  
0x0118     24        ROM_BANK                  
0x0119     25        ROM_BANK                  
0x011A     26        ROM_BANK                  
0x011B     27        ROM_BANK                  
0x011C     28        ROM_BANK                  
0x011D     29        ROM_BANK                  
0x011E     30        ROM_BANK                  
0x011F     31        ROM_BANK                  
0x0120     32        ROM_BANK                  
0x0121     33        ROM_BANK                  
0x0122     34        ROM_BANK                  
0x0123     35        ROM_BANK                  
0x0124     36        ROM_BANK                  
0x0125     37        ROM_BANK                  
0x0126     38        ROM_BANK                  
0x0127     39        ROM_BANK                  
0x0128     40        ROM_BANK                  
0x0129     41        ROM_BANK                  
0x012A     42        ROM_BANK                  
0x012B     43        ROM_BANK                  
0x012C     44        ROM_BANK                  
0x012D     45        ROM_BANK                  
0x012E     46        ROM_BANK                  
0x012F     47        ROM_BANK                  
0x0130     48        ROM_BANK                  
0x0131     49        ROM_BANK                  
0x0132     50        ROM_BANK                  
0x0133     51        ROM_BANK                  
0x0134     52        ROM_BANK                  
0x0135     53        ROM_BANK                  
0x0136     54        ROM_BANK                  
0x0137     55        ROM_BANK                  
0x0138     56        ROM_BANK                  
0x0139     57        ROM_BANK                  
0x013A     58        ROM_BANK                  
0x013B     59        ROM_BANK                  
0x013C     60        ROM_BANK                  
0x013D     61        ROM_BANK                  
0x013E     62        ROM_BANK                  
0x013F     63        ROM_BANK                  
0x0140     64        ROM_BANK                  
0x0141     65        ROM_BANK                  
0x0142     66        ROM_BANK                  
0x0143     67        ROM_BANK                  
0x0144     68        ROM_BANK                  
0x0145     69        ROM_BANK                  
0x0146     70        ROM_BANK                  
0x0147     71        ROM_BANK                  
0x0148     72        ROM_BANK                  
0x0149     73        ROM_BANK                  
0x014A     74        ROM_BANK                  
0x014B     75        ROM_BANK                  
0x014C     76        ROM_BANK                  
0x014D     77        ROM_BANK                  
0x014E     78        ROM_BANK                  
0x014F     79        ROM_BANK                  
0x0150     80        ROM_BANK                  
0x0151     81        ROM_BANK                  
0x0152     82        ROM_BANK                  
0x0153     83        ROM_BANK                  
0x0154     84        ROM_BANK                  
0x0155     85        ROM_BANK                  
0x0156     86        ROM_BANK                  
0x0157     87        ROM_BANK                  
0x0158     88        ROM_BANK                  
0x0159     89        ROM_BANK                  
0x015A     90        ROM_BANK                  
0x015B     91        ROM_BANK                  
0x015C     92        ROM_BANK                  
0x015D     93        ROM_BANK                  
0x015E     94        ROM_BANK                  
0x015F     95        ROM_BANK                  
0x0160     96        ROM_BANK                  
0x0161     97        ROM_BANK                  
0x0162     98        ROM_BANK                  
0x0163     99        ROM_BANK                  
0x0164     100       ROM_BANK                  
0x0165     101       ROM_BANK                  
0x0166     102       ROM_BANK                  
0x0167     103       ROM_BANK                  
0x0168     104       ROM_BANK                  
0x0169     105       ROM_BANK                  
0x016A     106       ROM_BANK                  
0x016B     107       ROM_BANK                  
0x016C     108       ROM_BANK                  
0x016D     109       ROM_BANK                  
0x016E     110       ROM_BANK                  
0x016F     111       ROM_BANK                  
0x0170     112       ROM_BANK                  
0x0171     113       ROM_BANK                  
0x0172     114       ROM_BANK                  
0x0173     115       ROM_BANK                  
0x0174     116       ROM_BANK                  
0x0175     117       ROM_BANK                  
0x0176     118       ROM_BANK                  
0x0177     119       ROM_BANK                  
0x0178     120       ROM_BANK                  
0x0179     121       ROM_BANK                  
0x017A     122       ROM_BANK                  
0x017B     123       ROM_BANK                  
0x017C     124       ROM_BANK                  
0x017D     125       ROM_BANK                  
0x017E     126       ROM_BANK                  
0x017F     127       ROM_BANK                  
0x0180     128       ROM_BANK                  
0x0181     129       ROM_BANK                  
0x0182     130       ROM_BANK                  
0x0183     131       ROM_BANK                  
0x0184     132       ROM_BANK                  
0x0185     133       ROM_BANK                  
0x0186     134       ROM_BANK                  
0x0187     135       ROM_BANK                  
0x0188     136       ROM_BANK                  
0x0189     137       ROM_BANK                  
0x018A     138       ROM_BANK                  
0x018B     139       ROM_BANK                  
0x018C     140       ROM_BANK                  
0x018D     141       ROM_BANK                  
0x018E     142       ROM_BANK                  
0x018F     143       ROM_BANK                  
0x0190     144       ROM_BANK                  
0x0191     145       ROM_BANK                  
0x0192     146       ROM_BANK                  
0x0193     147       ROM_BANK                  
0x0194     148       ROM_BANK                  
0x0195     149       ROM_BANK                  
0x0196     150       ROM_BANK                  
0x0197     151       ROM_BANK                  
0x0198     152       ROM_BANK                  
0x0199     153       ROM_BANK                  
0x019A     154       ROM_BANK                  
0x019B     155       ROM_BANK                  
0x019C     156       ROM_BANK                  
0x019D     157       ROM_BANK                  
0x019E     158       ROM_BANK                  
0x019F     159       ROM_BANK                  
0x01A0     160       ROM_BANK                  
0x01A1     161       ROM_BANK                  
0x01A2     162       ROM_BANK                  
0x01A3     163       ROM_BANK                  
0x01A4     164       ROM_BANK                  
0x01A5     165       ROM_BANK                  
0x01A6     166       ROM_BANK                  
0x01A7     167       ROM_BANK                  
0x01A8     168       ROM_BANK                  
0x01A9     169       ROM_BANK                  
0x01AA     170       ROM_BANK                  
0x01AB     171       ROM_BANK                  
0x01AC     172       ROM_BANK                  
0x01AD     173       ROM_BANK                  
0x01AE     174       ROM_BANK                  
0x01AF     175       ROM_BANK                  
0x01B0     176       ROM_BANK                  
0x01B1     177       ROM_BANK                  
0x01B2     178       ROM_BANK                  
0x01B3     179       ROM_BANK                  
0x01B4     180       ROM_BANK                  
0x01B5     181       ROM_BANK                  
0x01B6     182       ROM_BANK                  
0x01B7     183       ROM_BANK                  
0x01B8     184       ROM_BANK                  
0x01B9     185       ROM_BANK                  
0x01BA     186       ROM_BANK                  
0x01BB     187       ROM_BANK                  
0x01BC     188       ROM_BANK                  
0x01BD     189       ROM_BANK                  
0x01BE     190       ROM_BANK                  
0x01BF     191       ROM_BANK                  
0x01C0     192       ROM_BANK                  
0x01C1     193       ROM_BANK                  
0x01C2     194       ROM_BANK                  
0x01C3     195       ROM_BANK                  
0x01C4     196       ROM_BANK                  
0x01C5     197       ROM_BANK                  
0x01C6     198       ROM_BANK                  
0x01C7     199       ROM_BANK                  
0x01C8     200       ROM_BANK                  
0x01C9     201       ROM_BANK                  
0x01CA     202       ROM_BANK                  
0x01CB     203       ROM_BANK                  
0x01CC     204       ROM_BANK                  
0x01CD     205       ROM_BANK                  
0x01CE     206       ROM_BANK                  
0x01CF     207       ROM_BANK                  
0x01D0     208       ROM_BANK                  
0x01D1     209       ROM_BANK                  
0x01D2     210       ROM_BANK                  
0x01D3     211       ROM_BANK                  
0x01D4     212       ROM_BANK                  
0x01D5     213       ROM_BANK                  
0x01D6     214       ROM_BANK                  
0x01D7     215       ROM_BANK                  
0x01D8     216       ROM_BANK                  
0x01D9     217       ROM_BANK                  
